symboling,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,normalized-losses,fuel-type_gas,aspiration_turbo,num-of-doors_two,engine-location_rear,fwd,rwd
3,88.6,168.8,64.1,48.8,2548,4,130,3.47,2.68,9.0,111,5000,21,27,13495,155.5551102204409,1,0,1,0,0,1
3,88.6,168.8,64.1,48.8,2548,4,130,3.47,2.68,9.0,111,5000,21,27,16500,155.5551102204409,1,0,1,0,0,1
1,94.5,171.2,65.5,52.4,2823,6,152,2.68,3.47,9.0,154,5000,19,26,16500,125.0246492985972,1,0,1,0,0,1
2,99.8,177.3,66.3,53.1,2507,5,136,3.19,3.4,8.5,110,5500,19,25,15250,140.28987975951904,1,0,1,0,1,0
1,105.8,192.7,71.4,55.7,2954,5,136,3.19,3.4,8.5,110,5500,19,25,18920,125.0246492985972,1,0,0,0,1,0
1,103.5,189.0,66.9,55.7,3055,6,164,3.31,3.19,9.0,121,4250,20,25,24565,125.0246492985972,1,0,0,0,0,1
0,103.5,189.0,66.9,55.7,3230,6,209,3.62,3.39,8.0,182,5400,16,22,30760,109.75941883767536,1,0,0,0,0,1
0,103.5,193.8,67.9,53.7,3380,6,209,3.62,3.39,8.0,182,5400,16,22,41315,109.75941883767536,1,0,1,0,0,1
0,110.0,197.0,70.9,56.3,3505,6,209,3.62,3.39,8.0,182,5400,15,20,36880,109.75941883767536,1,0,0,0,0,1
0,94.3,170.7,61.8,53.5,2337,4,111,3.31,3.23,8.5,78,4800,24,29,6785,109.75941883767536,1,0,0,0,0,1
2,96.0,172.6,65.2,51.4,2734,4,119,3.43,3.23,9.2,90,5000,24,29,11048,140.28987975951904,1,0,1,0,0,1
0,113.0,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,35550,109.75941883767536,1,0,0,0,0,1
0,102.0,191.7,70.6,47.8,3950,12,326,3.54,2.76,11.5,262,5000,13,17,36000,109.75941883767536,1,0,1,0,0,1
0,104.9,175.0,66.1,54.4,2700,4,134,3.43,3.64,22.0,72,4200,31,39,18344,109.75941883767536,0,0,0,0,0,1
-1,115.6,202.6,71.7,56.5,3740,8,234,3.46,3.1,8.3,155,4750,16,18,34184,94.49418837675351,1,0,0,0,0,1
0,120.9,208.1,71.7,56.7,3900,8,308,3.8,3.35,8.0,184,4500,14,16,40960,109.75941883767536,1,0,0,0,0,1
1,112.0,199.2,72.0,55.4,3715,8,304,3.8,3.35,8.0,184,4500,14,16,45400,125.0246492985972,1,0,1,0,0,1
1,102.7,178.4,68.0,54.8,2910,4,140,3.78,3.12,8.0,175,5000,19,24,16503,125.0246492985972,1,1,1,0,0,1
3,95.9,173.2,66.3,50.2,2833,4,156,3.58,3.86,7.0,145,5000,19,24,12629,155.5551102204409,1,1,1,0,1,0
3,95.9,173.2,66.3,50.2,2921,4,156,3.59,3.86,7.0,145,5000,19,24,14869,155.5551102204409,1,1,1,0,1,0
3,95.9,173.2,66.3,50.2,2926,4,156,3.59,3.86,7.0,145,5000,19,24,14489,155.5551102204409,1,1,1,0,1,0
0,114.2,198.9,68.4,58.7,3230,4,120,3.46,3.19,8.4,97,5000,19,24,12440,109.75941883767536,1,0,0,0,0,1
0,114.2,198.9,68.4,58.7,3430,4,152,3.7,3.52,21.0,95,4150,25,25,13860,109.75941883767536,0,1,0,0,0,1
0,114.2,198.9,68.4,56.7,3285,4,120,3.46,2.19,8.4,95,5000,19,24,16695,109.75941883767536,1,0,0,0,0,1
0,114.2,198.9,68.4,58.7,3485,4,152,3.7,3.52,21.0,95,4150,25,25,17075,109.75941883767536,0,1,0,0,0,1
